Feature,Importance
AFFILIATION_CompanySponsored,0.0891
AFFILIATION_Independent,0.0329
APPLICATION_TYPE_T5,0.0194
APPLICATION_TYPE_Other,0.0148
ORGANIZATION_Trust,0.0095
CLASSIFICATION_Other,0.0094
APPLICATION_TYPE_T6,0.0086
CLASSIFICATION_C2000,0.0055
INCOME_AMT_1M-5M,0.0051
APPLICATION_TYPE_T8,0.0049
USE_CASE_ProductDev,0.0045
ORGANIZATION_Association,0.0044
CLASSIFICATION_C3000,0.0038
INCOME_AMT_100000-499999,0.0035
CLASSIFICATION_C1200,0.0031
APPLICATION_TYPE_T7,0.0031
USE_CASE_Preservation,0.0028
INCOME_AMT_10M-50M,0.0025
APPLICATION_TYPE_T3,0.0024
CLASSIFICATION_C1000,0.0023
INCOME_AMT_1-9999,0.0019
APPLICATION_TYPE_T4,0.0017
INCOME_AMT_5M-10M,0.0016
INCOME_AMT_50M+,0.0013
ASK_AMT,0.0013
CLASSIFICATION_C2100,0.0012
USE_CASE_CommunityServ,0.0011
ORGANIZATION_Co-operative,0.0008
APPLICATION_TYPE_T19,0.0008
INCOME_AMT_10000-24999,0.0007
USE_CASE_Heathcare,0.0005
ORGANIZATION_Corporation,0.0002
USE_CASE_Other,0.0002
AFFILIATION_National,-0.0000
